Rotamer,Eta center,Eta variance
#a,159.398654610383,12.8831759568344
&a,174.416482359305,165.113459224916
0a,176.779116083086,306.874131934714
0b,211.079198716677,162.749647137845
0i,208.133064513736,60.2016249975798
1L,184.169192557945,143.058760080301
1[,229.618798899443,148.79887452519
1a,183.103469255716,43.3345751484523
1b,219.438435873768,121.020826543991
1c,184.432248500112,141.492542431287
1e,177.510214780687,170.276125226567
1f,160.698311258579,248.927939878459
1g,48.7273727403025,40.9062616792683
1m,215.148595388874,813.062169537277
1o,109.267027703989,1161.884804714
1t,237.554126168052,166.44053895965
1z,97.0244205606785,184.979046210473
2[,232.734715910663,513.626242435688
2a,201.138342472438,462.301073321414
2h,331.017307198216,1834.64212746696
2o,115.435908193476,503.873291023392
3a,181.454684778996,285.790235683843
3b,220.322582749253,1206.4561575372
3d,338.737421349552,2072.35398328438
4a,217.163789739385,1051.49016790299
4b,221.764493421031,383.789314946989
4d,8.19447747707451,1812.13635925885
4g,116.806940334835,253.741053486143
4n,137.113294712294,88.7782568838381
4p,29.8138416445989,1233.13948671567
4s,277.517730381988,16.7992978106001
5d,344.341365116897,232.453482248835
5j,84.7260778723633,249.340685767883
5q,116.821655908182,482.054790071036
5z,121.07582755647,22.3924292818082
6d,324.231232314517,665.113124400911
6g,134.643527166007,902.225303821263
6j,81.4367637047538,391.896629447768
6n,113.004455619311,145.479755250384
6p,16.0477750070364,456.678754360938
7a,173.393924296949,83.7309228319433
7d,304.081453480344,738.471936204467
7p,-5.23571543091279,1072.46913736184
7r,209.044269016999,1075.63392542965
8d,343.064693025737,565.592070401188
9a,201.253259343972,373.22075740963
